individual,mode,choice,ttme,invc,invt,gc,hinc,psize,mode_name,total_time,cost_per_income,party_adjusted_cost,gc_rel_min,time_rel_min,is_lowest_gc,is_fastest,gc_vs_mean,time_vs_mean
4,3,0,53.0,21.0,399.0,81.0,70.0,3.0,bus,452.0,1.1571428406122453,27.0,49.0,320.0,0,0,1.2908366328153524,1.5559380325096797
4,4,1,0.0,5.0,180.0,32.0,70.0,3.0,car,180.0,0.457142850612245,10.666666666666666,0.0,48.0,1,0,0.5099601512356948,0.619621340379961
5,1,0,64.0,60.0,144.0,82.0,45.0,2.0,air,208.0,1.8222221817283961,41.0,0.0,0.0,1,1,0.8913043381379964,0.4732650728708417
5,2,0,44.0,32.0,404.0,93.0,45.0,2.0,train,448.0,2.066666620740742,46.5,11.0,240.0,0,0,1.0108695542296788,1.0193401569525822
5,3,0,53.0,26.0,449.0,94.0,45.0,2.0,bus,502.0,2.088888842469137,47.0,12.0,294.0,0,0,1.0217391193289227,1.1422070508709736
5,4,1,0.0,8.0,600.0,99.0,45.0,2.0,car,600.0,2.199999951111112,49.5,17.0,392.0,0,0,1.076086944825142,1.365187710204351
6,1,0,69.0,59.0,100.0,70.0,20.0,1.0,air,169.0,3.4999998250000086,70.0,27.0,0.0,0,1,1.2280701538935062,0.5240310061270357
6,2,1,40.0,20.0,345.0,57.0,20.0,1.0,train,385.0,2.849999857500007,57.0,14.0,216.0,0,0,0.9999999824561407,1.1937984459107025
6,3,0,35.0,13.0,417.0,58.0,20.0,1.0,bus,452.0,2.899999855000007,58.0,15.0,283.0,0,0,1.0175438417974765,1.4015503832510066
6,4,0,0.0,12.0,284.0,43.0,20.0,1.0,car,284.0,2.1499998925000052,43.0,0.0,115.0,1,0,0.7543859516774395,0.8806201523081546
7,1,1,45.0,148.0,115.0,160.0,45.0,1.0,air,160.0,3.555555476543212,160.0,35.0,0.0,0,1,0.9624060092486857,0.21843003383149484
7,2,0,34.0,111.0,945.0,213.0,45.0,1.0,train,979.0,4.733333228148151,213.0,88.0,819.0,0,0,1.281202999812313,1.336518769506459
7,3,0,35.0,66.0,935.0,167.0,45.0,1.0,bus,970.0,3.7111110286419775,167.0,42.0,810.0,0,0,1.0045112721533156,1.3242320801034375
7,4,0,0.0,36.0,821.0,125.0,45.0,1.0,car,821.0,2.777777716049384,125.0,0.0,661.0,1,0,0.7518796947255357,1.1208191110978578
8,1,0,69.0,121.0,152.0,137.0,12.0,1.0,air,221.0,11.416665715277858,137.0,2.0,0.0,0,1,0.9664902930053595,0.31148696221073013
8,2,0,34.0,52.0,889.0,149.0,12.0,1.0,train,923.0,12.416665631944532,149.0,14.0,702.0,0,0,1.051146377064223,1.3009161362918729
8,3,0,35.0,50.0,879.0,146.0,12.0,1.0,bus,914.0,12.166665652777864,146.0,11.0,693.0,0,0,1.0299823560495072,1.2882311468805763
8,4,1,0.0,50.0,780.0,135.0,12.0,1.0,car,780.0,11.249999062500079,135.0,0.0,559.0,1,0,0.9523809456622155,1.0993657489790476
9,1,0,69.0,59.0,100.0,70.0,40.0,1.0,air,169.0,1.7499999562500013,70.0,30.0,0.0,0,1,1.1155378308280823,0.5464834258804093
9,2,0,34.0,31.0,372.0,71.0,40.0,1.0,train,406.0,1.7749999556250011,71.0,31.0,237.0,0,0,1.1314740855541978,1.3128536740085572
9,3,0,35.0,25.0,417.0,70.0,40.0,1.0,bus,452.0,1.7499999562500013,70.0,30.0,283.0,0,0,1.1155378308280823,1.4616006419996745
9,4,1,0.0,17.0,210.0,40.0,40.0,1.0,car,210.0,0.9999999750000007,40.0,0.0,41.0,1,0,0.6374501890446185,0.67906224517684
10,1,0,69.0,58.0,68.0,65.0,70.0,2.0,air,137.0,0.9285714153061226,32.5,35.0,0.0,0,1,1.1206896358501788,0.4663829771357175
10,2,0,34.0,31.0,357.0,69.0,70.0,2.0,train,391.0,0.9857142716326533,34.5,39.0,254.0,0,0,1.1896551519024974,1.331063825255953
10,3,0,35.0,25.0,402.0,68.0,70.0,2.0,bus,437.0,0.9714285575510206,34.0,38.0,300.0,0,0,1.1724137728894177,1.487659569403712
10,4,1,0.0,7.0,210.0,30.0,70.0,2.0,car,210.0,0.4285714224489797,15.0,0.0,73.0,1,0,0.5172413703923902,0.7148936145875963
11,1,0,64.0,58.0,68.0,68.0,15.0,2.0,air,132.0,4.533333031111131,34.0,32.0,0.0,0,1,1.1012145570653513,0.4407345561244255
11,2,0,44.0,16.0,357.0,70.0,15.0,2.0,train,401.0,4.666666355555576,35.0,34.0,269.0,0,0,1.1336032205084499,1.3388981591355653
11,3,0,53.0,13.0,402.0,73.0,15.0,2.0,bus,455.0,4.866666342222244,36.5,37.0,323.0,0,0,1.1821862156730978,1.519198659368285
11,4,1,0.0,4.0,210.0,36.0,15.0,2.0,car,210.0,2.3999998400000107,18.0,0.0,78.0,1,0,0.5829959419757742,0.7011686120161316
12,1,0,64.0,62.0,108.0,79.0,35.0,2.0,air,172.0,2.257142792653063,39.5,35.0,0.0,0,1,1.0394736705332412,0.5276073603447627
12,2,0,44.0,34.0,370.0,90.0,35.0,2.0,train,414.0,2.571428497959186,45.0,46.0,242.0,0,0,1.1842105107340724,1.2699386464112312
12,3,0,53.0,28.0,415.0,91.0,35.0,2.0,bus,468.0,2.599999925714288,45.5,47.0,296.0,0,0,1.1973684052977842,1.4355828176822614
12,4,1,0.0,6.0,250.0,44.0,35.0,2.0,car,250.0,1.2571428212244908,22.0,0.0,78.0,1,0,0.5789473608033242,0.7668711632918063
13,1,0,64.0,45.0,114.0,63.0,50.0,4.0,air,178.0,1.2599999748000006,15.75,22.0,0.0,0,1,0.9402984934283807,0.5410334330059774
13,2,0,44.0,24.0,378.0,81.0,50.0,4.0,train,422.0,1.6199999676000008,20.25,40.0,244.0,0,0,1.2089552058364894,1.2826747681377666
13,3,0,53.0,19.0,423.0,83.0,50.0,4.0,bus,476.0,1.6599999668000007,20.75,42.0,298.0,0,0,1.2388059516596126,1.4468085062407037
13,4,1,0.0,5.0,240.0,41.0,50.0,4.0,car,240.0,0.8199999836000004,10.25,0.0,62.0,1,0,0.6119402893740256,0.7294832804574977
14,1,0,64.0,58.0,94.0,72.0,40.0,1.0,air,158.0,1.7999999550000012,72.0,14.0,0.0,0,1,0.9568106185141446,0.4842911862550462
14,2,0,44.0,31.0,360.0,85.0,40.0,1.0,train,404.0,2.1249999468750014,85.0,27.0,246.0,0,0,1.1295680913014208,1.2383141724496118
14,3,0,53.0,25.0,405.0,86.0,40.0,1.0,bus,458.0,2.1499999462500017,86.0,28.0,300.0,0,0,1.1428571276696728,1.4038314133215894
14,4,1,0.0,15.0,285.0,58.0,40.0,1.0,car,285.0,1.449999963750001,58.0,0.0,127.0,1,0,0.7707641093586165,0.8735632157132162
15,1,0,64.0,83.0,169.0,109.0,26.0,4.0,air,233.0,4.192307531065095,27.25,0.0,0.0,1,1,0.6132208123025552,0.27283372333391837
15,2,0,44.0,70.0,948.0,214.0,26.0,4.0,train,992.0,8.230768914201196,53.5,105.0,759.0,0,0,1.2039381085573102,1.1615925044946223
15,3,0,53.0,47.0,938.0,189.0,26.0,4.0,bus,991.0,7.269230489644981,47.25,80.0,758.0,0,0,1.063291133258559,1.1604215443086399
15,4,1,0.0,17.0,1200.0,199.0,26.0,4.0,car,1200.0,7.6538458594674665,49.75,90.0,967.0,0,0,1.1195499233780595,1.4051522231789786
16,1,0,69.0,60.0,127.0,73.0,26.0,1.0,air,196.0,2.807692199704146,73.0,21.0,0.0,0,1,1.158730140337617,0.5760470225538662
16,2,1,20.0,19.0,325.0,55.0,26.0,1.0,train,345.0,2.1153845340236717,55.0,3.0,149.0,0,0,0.8730158591584785,1.0139603203116523
16,3,0,35.0,25.0,435.0,72.0,26.0,1.0,bus,470.0,2.7692306627218977,72.0,20.0,274.0,0,0,1.1428571247165535,1.3813372479608017
16,4,0,0.0,14.0,350.0,52.0,26.0,1.0,car,350.0,1.9999999230769259,52.0,0.0,154.0,1,0,0.8253968122952887,1.0286553974176182
17,1,0,69.0,61.0,74.0,69.0,26.0,1.0,air,143.0,2.653846051775152,69.0,22.0,0.0,0,1,1.1039999823360003,0.496527776053723
17,2,1,15.0,38.0,255.0,66.0,26.0,1.0,train,270.0,2.538461440828406,66.0,19.0,127.0,0,0,1.0559999831040003,0.9374999967447917
17,3,0,35.0,26.0,389.0,68.0,26.0,1.0,bus,424.0,2.615384514792903,68.0,21.0,281.0,0,0,1.0879999825920004,1.4722222171103396
17,4,0,0.0,13.0,315.0,47.0,26.0,1.0,car,315.0,1.807692238165683,47.0,0.0,172.0,1,0,0.7519999879680003,1.093749996202257
18,1,0,69.0,67.0,86.0,76.0,6.0,1.0,air,155.0,12.666664555555908,76.0,23.0,0.0,0,1,1.235772337629718,0.5016181213539866
18,2,1,20.0,21.0,300.0,54.0,6.0,1.0,train,320.0,8.999998500000249,54.0,1.0,165.0,0,0,0.8780487662105892,1.035598702150166
18,3,0,35.0,19.0,399.0,63.0,6.0,1.0,bus,434.0,10.499998250000292,63.0,10.0,279.0,0,0,1.0243902272456875,1.4045307397911626
18,4,0,0.0,17.0,327.0,53.0,6.0,1.0,car,327.0,8.833331861111356,53.0,0.0,172.0,1,0,0.8617886038733561,1.0582524237597009
19,1,0,69.0,59.0,148.0,75.0,20.0,1.0,air,217.0,3.7499998125000094,75.0,24.0,0.0,0,1,1.1952191044586598,0.584511782937342
19,2,1,45.0,18.0,305.0,51.0,20.0,1.0,train,350.0,2.549999872500006,51.0,0.0,133.0,1,0,0.8127489910318886,0.9427609402215194
19,3,0,35.0,14.0,456.0,63.0,20.0,1.0,bus,491.0,3.1499998425000078,63.0,12.0,274.0,0,0,1.0039840477452742,1.3225589189964744
19,4,0,0.0,16.0,427.0,62.0,20.0,1.0,car,427.0,3.0999998450000077,62.0,11.0,210.0,0,0,0.9880477930191587,1.1501683470702537
20,1,0,64.0,58.0,93.0,72.0,72.0,2.0,air,157.0,0.9999999861111113,36.0,15.0,0.0,0,1,1.0212765812584883,0.5290648676358387
20,2,1,10.0,28.0,305.0,75.0,72.0,2.0,train,315.0,1.0416666521990743,37.5,18.0,158.0,0,0,1.0638297721442587,1.0614995751929248
20,3,0,53.0,25.0,346.0,78.0,72.0,2.0,bus,399.0,1.0833333182870373,39.0,21.0,242.0,0,0,1.106382963030029,1.3445661285777046
20,4,0,0.0,9.0,316.0,57.0,72.0,2.0,car,316.0,0.7916666556712965,28.5,0.0,159.0,1,0,0.8085106268296365,1.0648694151141722
21,1,0,69.0,61.0,73.0,69.0,6.0,1.0,air,142.0,11.499998083333653,69.0,22.0,0.0,0,1,1.2105262945521704,0.46903385476784853
21,2,1,20.0,21.0,305.0,54.0,6.0,1.0,train,325.0,8.999998500000249,54.0,7.0,183.0,0,0,0.9473684044321333,1.073492977461625
21,3,0,35.0,15.0,395.0,58.0,6.0,1.0,bus,430.0,9.666665055555823,58.0,11.0,288.0,0,0,1.0175438417974765,1.4203137855646117
21,4,0,0.0,13.0,314.0,47.0,6.0,1.0,car,314.0,7.833332027777995,47.0,0.0,172.0,1,0,0.8245613890427826,1.0371593689936933
22,1,0,64.0,62.0,235.0,98.0,10.0,2.0,air,299.0,9.799999020000099,49.0,0.0,0.0,1,1,0.9267139392272914,0.5851272004204947
22,2,1,45.0,45.0,465.0,116.0,10.0,2.0,train,510.0,11.599998840000117,58.0,18.0,211.0,0,0,1.0969267035751613,0.9980430508844559
22,3,0,53.0,17.0,623.0,111.0,10.0,2.0,bus,676.0,11.099998890000112,55.5,13.0,377.0,0,0,1.0496453801451975,1.3228962792115533
22,4,0,0.0,13.0,559.0,98.0,10.0,2.0,car,559.0,9.799999020000099,49.0,0.0,260.0,1,0,0.9267139392272914,1.0939334616557075
23,1,1,90.0,142.0,105.0,153.0,50.0,1.0,air,195.0,3.059999938800001,153.0,57.0,0.0,0,1,1.2723492617684053,0.38480512997571753
23,2,0,34.0,71.0,596.0,136.0,50.0,1.0,train,630.0,2.719999945600001,136.0,40.0,435.0,0,0,1.1309771215719158,1.2432165737677028
23,3,0,35.0,32.0,590.0,96.0,50.0,1.0,bus,625.0,1.919999961600001,96.0,0.0,430.0,1,0,0.7983367916978229,1.2333497755631972
23,4,0,0.0,33.0,577.0,96.0,50.0,1.0,car,577.0,1.919999961600001,96.0,0.0,382.0,1,0,0.7983367916978229,1.1386285127999438
24,1,1,50.0,120.0,110.0,132.0,50.0,1.0,air,160.0,2.639999947200001,132.0,37.0,0.0,0,1,1.1528384178791404,0.3212851399170981
24,2,0,34.0,70.0,596.0,135.0,50.0,1.0,train,630.0,2.699999946000001,135.0,40.0,470.0,0,0,1.1790392910127574,1.2650602384235738
24,3,0,35.0,31.0,590.0,95.0,50.0,1.0,bus,625.0,1.8999999620000008,95.0,0.0,465.0,1,0,0.8296943158978662,1.2550200778011644
24,4,0,0.0,33.0,577.0,96.0,50.0,1.0,car,577.0,1.919999961600001,96.0,1.0,417.0,0,0,0.8384279402757385,1.158634535826035
25,1,1,15.0,85.0,65.0,92.0,18.0,2.0,air,80.0,5.111110827160509,46.0,51.0,0.0,0,1,1.5081966965869396,0.26402640176888975
25,2,0,34.0,15.0,361.0,55.0,18.0,2.0,train,395.0,3.0555553858024784,27.5,14.0,315.0,0,0,0.9016393294813225,1.3036303587338933
25,3,0,35.0,12.0,406.0,56.0,18.0,2.0,bus,441.0,3.1111109382716142,28.0,15.0,361.0,0,0,0.9180327718355283,1.4554455397510049
25,4,0,0.0,9.0,296.0,41.0,18.0,2.0,car,296.0,2.2777776512345747,20.5,0.0,216.0,1,0,0.6721311365224404,0.9768976865448922
26,1,1,30.0,85.0,140.0,106.0,60.0,1.0,air,170.0,1.7666666372222228,106.0,0.0,0.0,1,1,0.5691275137228053,0.22553897150840602
26,2,0,44.0,90.0,928.0,231.0,60.0,1.0,train,972.0,3.8499999358333348,231.0,125.0,802.0,0,0,1.2402684497166794,1.2895522370951213
26,3,0,53.0,45.0,918.0,185.0,60.0,1.0,bus,971.0,3.0833332819444452,185.0,79.0,801.0,0,0,0.9932885852709338,1.288225537262719
26,4,0,0.0,86.0,902.0,223.0,60.0,1.0,car,902.0,3.7166666047222234,223.0,117.0,732.0,0,0,1.1973154298130715,1.1966832488269543
27,1,1,80.0,75.0,110.0,87.0,45.0,1.0,air,190.0,1.9333332903703715,87.0,0.0,0.0,1,1,0.8111888036252792,0.3601895727768918
27,2,0,34.0,70.0,638.0,140.0,45.0,1.0,train,672.0,3.1111110419753105,140.0,53.0,482.0,0,0,1.3053612931901046,1.2739336468740594
27,3,0,35.0,31.0,632.0,100.0,45.0,1.0,bus,667.0,2.2222221728395075,100.0,13.0,477.0,0,0,0.9324009237072175,1.2644549739062465
27,4,0,0.0,39.0,581.0,102.0,45.0,1.0,car,581.0,2.2666666162962974,102.0,15.0,391.0,0,0,0.9510489421813618,1.1014217988598638
28,1,1,45.0,85.0,140.0,106.0,18.0,2.0,air,185.0,5.888888561728413,53.0,0.0,0.0,1,1,0.8670756575290335,0.33697631996907773
28,2,0,44.0,39.0,664.0,139.0,18.0,2.0,train,708.0,7.7222217932099,69.5,33.0,523.0,0,0,1.137014305627695,1.2896174839897678
28,3,0,53.0,35.0,658.0,135.0,18.0,2.0,bus,711.0,7.499999583333356,67.5,29.0,526.0,0,0,1.1042944694945238,1.2950819648541312
28,4,0,0.0,19.0,592.0,109.0,18.0,2.0,car,592.0,6.055555219135821,54.5,3.0,407.0,0,0,0.8916155346289119,1.0783242239010489
29,1,0,64.0,74.0,179.0,101.0,8.0,2.0,air,243.0,12.624998421875198,50.5,43.0,0.0,0,1,1.246913564852919,0.7242920991824379
29,2,1,60.0,43.0,320.0,91.0,8.0,2.0,train,380.0,11.37499857812518,45.5,33.0,137.0,0,0,1.12345677625362,1.1326378505733596
29,3,0,53.0,21.0,345.0,74.0,8.0,2.0,bus,398.0,9.249998843750145,37.0,16.0,155.0,0,0,0.9135802356348119,1.186289117179466
29,4,0,0.0,9.0,321.0,58.0,8.0,2.0,car,321.0,7.249999093750114,29.0,0.0,78.0,1,0,0.7160493738759337,0.9567809211422327
30,1,0,69.0,59.0,100.0,70.0,6.0,1.0,air,169.0,11.666664722222546,70.0,28.0,0.0,0,1,1.308411190496987,0.5671140920566641
30,2,1,2.0,11.0,285.0,42.0,6.0,1.0,train,287.0,6.999998833333527,42.0,0.0,118.0,1,0,0.7850467142981923,0.9630872450903113
30,3,0,35.0,13.0,417.0,58.0,6.0,1.0,bus,452.0,9.666665055555823,58.0,16.0,283.0,0,0,1.0841121292689322,1.5167785184000722
30,4,0,0.0,13.0,284.0,44.0,6.0,1.0,car,284.0,7.333332111111314,44.0,2.0,115.0,0,0,0.8224298911695348,0.9530201310301338
31,1,0,69.0,59.0,101.0,70.0,20.0,1.0,air,170.0,3.4999998250000086,70.0,25.0,0.0,0,1,1.191489341421458,0.554197227207181
31,2,1,5.0,17.0,300.0,50.0,20.0,1.0,train,305.0,2.499999875000006,50.0,5.0,135.0,0,0,0.8510638153010415,0.9942950252834718
31,3,0,35.0,25.0,420.0,70.0,20.0,1.0,bus,455.0,3.4999998250000086,70.0,25.0,285.0,0,0,1.191489341421458,1.4832925787015727
31,4,0,0.0,13.0,297.0,45.0,20.0,1.0,car,297.0,2.2499998875000053,45.0,0.0,127.0,1,0,0.7659574337709373,0.9682151557678398
32,1,0,69.0,64.0,90.0,73.0,45.0,1.0,air,159.0,1.6222221861728403,73.0,19.0,0.0,0,1,1.093632942417484,0.5023696666591796
32,2,1,15.0,32.0,325.0,67.0,45.0,1.0,train,340.0,1.48888885580247,67.0,13.0,181.0,0,0,1.003745303314677,1.0742496016611387
32,3,0,35.0,29.0,405.0,73.0,45.0,1.0,bus,440.0,1.6222221861728403,73.0,19.0,281.0,0,0,1.093632942417484,1.3902053668555914
32,4,0,0.0,18.0,327.0,54.0,45.0,1.0,car,327.0,1.199999973333334,54.0,0.0,168.0,1,0,0.8089887519252622,1.03317535218586
33,1,0,64.0,59.0,73.0,70.0,70.0,2.0,air,137.0,0.9999999857142859,35.0,13.0,0.0,0,1,0.9790209653283781,0.4440842773287382
33,2,1,45.0,29.0,290.0,73.0,70.0,2.0,train,335.0,1.0428571279591838,36.5,16.0,198.0,0,0,1.0209790066995943,1.0858995102564035
33,3,0,53.0,26.0,395.0,86.0,70.0,2.0,bus,448.0,1.2285714110204085,43.0,29.0,311.0,0,0,1.2027971859748645,1.4521880017757278
33,4,0,0.0,9.0,314.0,57.0,70.0,2.0,car,314.0,0.8142857026530614,28.5,0.0,177.0,1,0,0.7972027860531079,1.0178281976731662
34,1,0,69.0,62.0,66.0,70.0,4.0,1.0,air,135.0,17.499995625001095,70.0,20.0,0.0,0,1,1.142857124198251,0.4580152656216615
34,2,1,10.0,31.0,295.0,63.0,4.0,1.0,train,305.0,15.749996062500983,63.0,13.0,170.0,0,0,1.028571411778426,1.0347752297378279
34,3,0,35.0,19.0,397.0,62.0,4.0,1.0,bus,432.0,15.499996125000969,62.0,12.0,297.0,0,0,1.0122448814327367,1.465648849989317
34,4,0,0.0,17.0,307.0,50.0,4.0,1.0,car,307.0,12.49999687500078,50.0,0.0,172.0,1,0,0.816326517284465,1.041560641080371
35,1,0,69.0,60.0,132.0,75.0,40.0,1.0,air,201.0,1.8749999531250012,75.0,29.0,0.0,0,1,1.2605041804957282,0.6365795704304685
35,2,1,15.0,15.0,330.0,50.0,40.0,1.0,train,345.0,1.249999968750001,50.0,4.0,144.0,0,0,0.8403361203304854,1.0926365761119983
35,3,0,35.0,26.0,373.0,67.0,40.0,1.0,bus,408.0,1.6749999581250012,67.0,21.0,207.0,0,0,1.1260504012428505,1.2921615160976674
35,4,0,0.0,12.0,309.0,46.0,40.0,1.0,car,309.0,1.1499999712500009,46.0,0.0,108.0,1,0,0.7731092307040466,0.9786223246916158
36,1,0,69.0,60.0,117.0,73.0,35.0,1.0,air,186.0,2.085714226122451,73.0,23.0,0.0,0,1,1.158730140337617,0.5776397497588828
36,2,1,10.0,23.0,325.0,58.0,35.0,1.0,train,335.0,1.6571428097959198,58.0,8.0,149.0,0,0,0.9206349060216682,1.0403726675764824
36,3,0,35.0,25.0,425.0,71.0,35.0,1.0,bus,460.0,2.0285713706122466,71.0,21.0,274.0,0,0,1.1269841090954904,1.4285714241348713
36,4,0,0.0,17.0,307.0,50.0,35.0,1.0,car,307.0,1.4285713877551034,50.0,0.0,121.0,1,0,0.7936507810531622,0.9534161461074033
37,1,0,64.0,62.0,184.0,90.0,40.0,2.0,air,248.0,2.2499999437500016,45.0,14.0,0.0,0,1,1.0495626699759455,0.6211646822262625
37,2,1,45.0,24.0,360.0,79.0,40.0,2.0,train,405.0,1.9749999506250013,39.5,3.0,157.0,0,0,0.9212827880899966,1.0144020012162756
37,3,0,53.0,28.0,464.0,98.0,40.0,2.0,bus,517.0,2.4499999387500018,49.0,22.0,269.0,0,0,1.142857129529363,1.2949279867378134
37,4,0,0.0,11.0,427.0,76.0,40.0,2.0,car,427.0,1.8999999525000013,38.0,0.0,179.0,1,0,0.8862973657574651,1.0695053198008633
38,1,0,64.0,50.0,67.0,60.0,4.0,3.0,air,131.0,14.999996250000937,20.0,7.0,0.0,0,1,0.9338521255431577,0.44406779510485495
38,2,1,30.0,31.0,265.0,71.0,4.0,3.0,train,295.0,17.74999556250111,23.666666666666668,18.0,164.0,0,0,1.1050583485594032,0.9999999966101695
38,3,0,53.0,14.0,393.0,73.0,4.0,3.0,bus,446.0,18.24999543750114,24.333333333333332,20.0,315.0,0,0,1.1361867527441751,1.511864401654697
38,4,0,0.0,6.0,308.0,53.0,4.0,3.0,car,308.0,13.249996687500827,17.666666666666668,0.0,177.0,1,0,0.824902710896456,1.0440677930709565
39,1,0,64.0,48.0,154.0,71.0,15.0,4.0,air,218.0,4.733333017777799,17.75,14.0,0.0,0,1,0.9726027264027024,0.5817211458793299
39,2,1,55.0,25.0,360.0,80.0,15.0,4.0,train,415.0,5.333332977777801,20.0,23.0,197.0,0,0,1.095890395946707,1.1074049336693663
39,3,0,53.0,14.0,462.0,84.0,15.0,4.0,bus,515.0,5.599999626666692,21.0,27.0,297.0,0,0,1.1506849157440422,1.3742494959993343
39,4,0,0.0,4.0,351.0,57.0,15.0,4.0,car,351.0,3.7999997466666837,14.25,0.0,133.0,1,0,0.7808219071120287,0.9366244137781871
40,1,1,30.0,147.0,100.0,158.0,26.0,1.0,air,130.0,6.076922843195275,158.0,62.0,0.0,0,1,1.1428571345905452,0.23875114740357917
40,2,0,34.0,96.0,678.0,169.0,26.0,1.0,train,712.0,6.4999997500000095,169.0,73.0,582.0,0,0,1.222423137631659,1.3076216688565259
40,3,0,35.0,57.0,672.0,130.0,26.0,1.0,bus,707.0,4.999999807692315,130.0,34.0,577.0,0,0,0.9403254904858915,1.2984389324179266
40,4,0,0.0,28.0,629.0,96.0,26.0,1.0,car,629.0,3.692307550295863,96.0,0.0,499.0,1,0,0.6943942083588123,1.1551882439757792
41,1,1,75.0,125.0,110.0,137.0,26.0,1.0,air,185.0,5.269230566568055,137.0,50.0,0.0,0,1,1.2070484475149916,0.3668815064613158
41,2,0,34.0,70.0,596.0,135.0,26.0,1.0,train,630.0,5.1923074926035575,135.0,48.0,445.0,0,0,1.1894273022957946,1.249380265246643
41,3,0,35.0,31.0,590.0,95.0,26.0,1.0,bus,625.0,3.653846013313615,95.0,8.0,440.0,0,0,0.8370043979118555,1.2394645488557967
41,4,0,0.0,24.0,577.0,87.0,26.0,1.0,car,577.0,3.346153717455626,87.0,0.0,392.0,1,0,0.7665198170350677,1.1442736715036714
42,1,1,40.0,152.0,95.0,162.0,70.0,1.0,air,135.0,2.3142856812244905,162.0,74.0,0.0,0,1,1.3333333223593966,0.2720403017188105
42,2,0,34.0,73.0,600.0,138.0,70.0,1.0,train,634.0,1.9714285432653067,138.0,50.0,499.0,0,0,1.1358024597876342,1.2775818614053767
42,3,0,35.0,34.0,594.0,98.0,70.0,1.0,bus,629.0,1.3999999800000003,98.0,10.0,494.0,0,0,0.8065843555013633,1.2675062946750504
42,4,0,0.0,24.0,587.0,88.0,70.0,1.0,car,587.0,1.2571428391836739,88.0,0.0,452.0,1,0,0.7242798294297956,1.1828715341403093
43,1,1,30.0,116.0,180.0,136.0,70.0,1.0,air,210.0,1.9428571151020413,136.0,39.0,0.0,0,1,1.140461206369298,0.37906137115692895
43,2,0,34.0,71.0,657.0,142.0,70.0,1.0,train,691.0,2.0285713995918373,142.0,45.0,481.0,0,0,1.1907756713561788,1.2472924165211328
43,3,0,35.0,32.0,651.0,102.0,70.0,1.0,bus,686.0,1.4571428363265309,102.0,5.0,476.0,0,0,0.8553459047769736,1.238267145779301
43,4,0,0.0,29.0,629.0,97.0,70.0,1.0,car,629.0,1.3857142659183677,97.0,0.0,419.0,1,0,0.8134171839545729,1.1353790593224204
44,1,1,40.0,100.0,105.0,116.0,45.0,2.0,air,145.0,2.5777777204938284,58.0,11.0,0.0,0,1,0.9080234762581333,0.28196402473123183
44,2,0,44.0,70.0,622.0,165.0,45.0,2.0,train,666.0,3.666666585185187,82.5,60.0,521.0,0,0,1.2915851170913102,1.2950899342827615
44,3,0,53.0,31.0,616.0,125.0,45.0,2.0,bus,669.0,2.777777716049384,62.5,20.0,524.0,0,0,0.978473573554023,1.3009236727254765
